AREASYMBOL,SPATIALVER,MUSYM,MUKEY,MUKEY_1,Db3rdbar
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",ErG,"373547","373547",1.15000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",EyD,"373549","373549",1.42000000000
TX491,"7",BuA,"373529","373529",1.39000000000
TX491,"7",DfA,"373538","373538",1.42000000000
TX491,"7",GeB,"373553","373553",1.36000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",OaA,"373564","373564",1.42000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",BkE,"373525","373525",1.42000000000
TX491,"7",HeB,"373555","373555",1.32000000000
TX491,"7",CaC,"373532","373532",1.33000000000
TX491,"7",HoC2,"373561","373561",1.27000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",GsB,"373554","373554",1.36000000000
TX491,"7",HoB,"373560","373560",1.27000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",CfB,"373534","373534",1.40000000000
TX491,"7",TnA,"373575","373575",1.33000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",GsB,"373554","373554",1.36000000000
TX491,"7",W,"373577","373577",0.00000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",CaC,"373532","373532",1.33000000000
TX491,"7",ErE,"373546","373546",1.15000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",BkE,"373525","373525",1.42000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",GsB,"373554","373554",1.36000000000
TX491,"7",CaC,"373532","373532",1.33000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",KrB,"373563","373563",1.41000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",CaC,"373532","373532",1.33000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",W,"373577","373577",0.00000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",GeB,"373553","373553",1.36000000000
TX491,"7",HoC2,"373561","373561",1.27000000000
TX491,"7",QuC,"373568","373568",1.34000000000
TX491,"7",EeB,"373545","373545",1.20000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",EeB,"373545","373545",1.20000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",EyD,"373549","373549",1.42000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",QuC,"373568","373568",1.34000000000
TX491,"7",BrA,"373527","373527",1.32000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",KrA,"373562","373562",1.41000000000
TX491,"7",HoA,"373559","373559",1.27000000000
TX491,"7",HoC2,"373561","373561",1.27000000000
TX491,"7",HedC2,"373556","373556",1.35000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",WlB,"373581","373581",1.53000000000
TX491,"7",CfB,"373534","373534",1.40000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",BktD,"373524","373524",1.42000000000
TX491,"7",ErG,"373547","373547",1.15000000000
TX491,"7",HoB,"373560","373560",1.27000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",HeB,"373555","373555",1.32000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",GsB,"373554","373554",1.36000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",BktD,"373524","373524",1.42000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",ErE,"373546","373546",1.15000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",ErE,"373546","373546",1.15000000000
TX491,"7",FaA,"373550","373550",1.47000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuC,"373568","373568",1.34000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",ErE,"373546","373546",1.15000000000
TX491,"7",GsB,"373554","373554",1.36000000000
TX491,"7",DnC,"373542","373542",1.35000000000
TX491,"7",QuC,"373568","373568",1.34000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",QuC,"373568","373568",1.34000000000
TX491,"7",HoB,"373560","373560",1.27000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",QuC,"373568","373568",1.34000000000
TX491,"7",HoB,"373560","373560",1.27000000000
TX491,"7",BkE,"373525","373525",1.42000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",KrB,"373563","373563",1.41000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",EeB,"373545","373545",1.20000000000
TX491,"7",EyD,"373549","373549",1.42000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",WhC,"373579","373579",1.38000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",AlC3,"373515","373515",1.34000000000
TX491,"7",CfB,"373534","373534",1.40000000000
TX491,"7",GeB,"373553","373553",1.36000000000
TX491,"7",DnA,"373540","373540",1.44000000000
TX491,"7",WhC,"373579","373579",1.38000000000
TX491,"7",GeB,"373553","373553",1.36000000000
TX491,"7",HeiD3,"373557","373557",1.40000000000
TX491,"7",HesE,"373558","373558",1.49000000000
TX491,"7",GeB,"373553","373553",1.36000000000
TX491,"7",EyB,"373548","373548",1.40000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",RaB,"373569","373569",1.54000000000
TX491,"7",AxC3,"373521","373521",1.58000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",AlC3,"373515","373515",1.34000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",AxB,"373520","373520",1.44000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",W,"373577","373577",0.00000000000
TX491,"7",AlD2,"373516","373516",1.43000000000
TX491,"7",AlD2,"373516","373516",1.43000000000
TX491,"7",AlD2,"373516","373516",1.43000000000
TX491,"7",AlD2,"373516","373516",1.43000000000
TX491,"7",ErE,"373546","373546",1.15000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",GsB,"373554","373554",1.36000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",KrB,"373563","373563",1.41000000000
TX491,"7",HoB,"373560","373560",1.27000000000
TX491,"7",BkE,"373525","373525",1.42000000000
TX491,"7",EyD,"373549","373549",1.42000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",GsB,"373554","373554",1.36000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",QuC,"373568","373568",1.34000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",CfB,"373534","373534",1.40000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",HoB,"373560","373560",1.27000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",CfA,"373533","373533",1.40000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",CfB,"373534","373534",1.40000000000
TX491,"7",BkrG,"373526","373526",1.42000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",GsB,"373554","373554",1.36000000000
TX491,"7",TcA,"373574","373574",1.30000000000
TX491,"7",HoB,"373560","373560",1.27000000000
TX491,"7",AsA,"373517","373517",1.28000000000
TX491,"7",EeB,"373545","373545",1.20000000000
TX491,"7",KrB,"373563","373563",1.41000000000
TX491,"7",WhC,"373579","373579",1.38000000000
TX491,"7",FhF2,"373552","373552",1.39000000000
TX491,"7",FhF2,"373552","373552",1.39000000000
TX491,"7",FhF2,"373552","373552",1.39000000000
TX491,"7",CfB,"373534","373534",1.40000000000
TX491,"7",DAM,"373582","373582",0.00000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",TnA,"373575","373575",1.33000000000
TX491,"7",HoB,"373560","373560",1.27000000000
TX491,"7",EyB,"373548","373548",1.40000000000
TX491,"7",WhC,"373579","373579",1.38000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",WhC,"373579","373579",1.38000000000
TX491,"7",BrkB,"3130103","3130103",1.32000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",BrkB,"3130103","3130103",1.32000000000
TX491,"7",BrkB,"3130103","3130103",1.32000000000
TX491,"7",BrkB,"3130103","3130103",1.32000000000
TX491,"7",BrkB,"3130103","3130103",1.32000000000
TX491,"7",BrkB,"3130103","3130103",1.32000000000
TX491,"7",BrkB,"3130103","3130103",1.32000000000
TX491,"7",BrkB,"3130103","3130103",1.32000000000
TX491,"7",BrkB,"3130103","3130103",1.32000000000
TX491,"7",QuC,"373568","373568",1.34000000000
TX491,"7",W,"373577","373577",0.00000000000
TX491,"7",GsB,"373554","373554",1.36000000000
TX491,"7",EyD,"373549","373549",1.42000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",EyD,"373549","373549",1.42000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",ErE,"373546","373546",1.15000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",FaA,"373550","373550",1.47000000000
TX491,"7",GsB,"373554","373554",1.36000000000
TX491,"7",BktD,"373524","373524",1.42000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",EyD,"373549","373549",1.42000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",BkE,"373525","373525",1.42000000000
TX491,"7",HoB,"373560","373560",1.27000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",HoC2,"373561","373561",1.27000000000
TX491,"7",QuC,"373568","373568",1.34000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",DnC,"373542","373542",1.35000000000
TX491,"7",EyD,"373549","373549",1.42000000000
TX491,"7",EyD,"373549","373549",1.42000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",HoC2,"373561","373561",1.27000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",CfB,"373534","373534",1.40000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",CaC,"373532","373532",1.33000000000
TX491,"7",AsA,"373517","373517",1.28000000000
TX491,"7",W,"373577","373577",0.00000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",HedC2,"373556","373556",1.35000000000
TX491,"7",BktD,"373524","373524",1.42000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",BktD,"373524","373524",1.42000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",GeB,"373553","373553",1.36000000000
TX491,"7",SvA,"373572","373572",1.47000000000
TX491,"7",QuC,"373568","373568",1.34000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",HoA,"373559","373559",1.27000000000
TX491,"7",OlA,"373565","373565",1.42000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",GeB,"373553","373553",1.36000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",BktD,"373524","373524",1.42000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",EeB,"373545","373545",1.20000000000
TX491,"7",GsB,"373554","373554",1.36000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",DAM,"373582","373582",0.00000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",OaA,"373564","373564",1.42000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",BktD,"373524","373524",1.42000000000
TX491,"7",WhC,"373579","373579",1.38000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",HeiD3,"373557","373557",1.40000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",CfB,"373534","373534",1.40000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",EeB,"373545","373545",1.20000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",BrA,"373527","373527",1.32000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",ErG,"373547","373547",1.15000000000
TX491,"7",GsB,"373554","373554",1.36000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",BktD,"373524","373524",1.42000000000
TX491,"7",EeB,"373545","373545",1.20000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",HoB,"373560","373560",1.27000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",GeB,"373553","373553",1.36000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",DnC,"373542","373542",1.35000000000
TX491,"7",GeB,"373553","373553",1.36000000000
TX491,"7",BkE,"373525","373525",1.42000000000
TX491,"7",BkE,"373525","373525",1.42000000000
TX491,"7",BeC3,"373523","373523",1.45000000000
TX491,"7",HoB,"373560","373560",1.27000000000
TX491,"7",ErE,"373546","373546",1.15000000000
TX491,"7",AlC3,"373515","373515",1.34000000000
TX491,"7",EyD,"373549","373549",1.42000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",GeB,"373553","373553",1.36000000000
TX491,"7",GeB,"373553","373553",1.36000000000
TX491,"7",HedC2,"373556","373556",1.35000000000
TX491,"7",GeB,"373553","373553",1.36000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",WhC,"373579","373579",1.38000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",HoB,"373560","373560",1.27000000000
TX491,"7",EyD,"373549","373549",1.42000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",CaC,"373532","373532",1.33000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",EyD,"373549","373549",1.42000000000
TX491,"7",BeB,"373522","373522",1.45000000000
TX491,"7",BktD,"373524","373524",1.42000000000
TX491,"7",DnC,"373542","373542",1.35000000000
TX491,"7",WhC,"373579","373579",1.38000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",FaA,"373550","373550",1.47000000000
TX491,"7",CfB,"373534","373534",1.40000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",GsB,"373554","373554",1.36000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",AlD2,"373516","373516",1.43000000000
TX491,"7",CaC,"373532","373532",1.33000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",ErE,"373546","373546",1.15000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",FhF2,"373552","373552",1.39000000000
TX491,"7",CaC,"373532","373532",1.33000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",BkE,"373525","373525",1.42000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",HeB,"373555","373555",1.32000000000
TX491,"7",CfB,"373534","373534",1.40000000000
TX491,"7",EeB,"373545","373545",1.20000000000
TX491,"7",W,"373577","373577",0.00000000000
TX491,"7",FhF2,"373552","373552",1.39000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",CaC,"373532","373532",1.33000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",EyD,"373549","373549",1.42000000000
TX491,"7",HeiD3,"373557","373557",1.40000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",ErE,"373546","373546",1.15000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",BkE,"373525","373525",1.42000000000
TX491,"7",CaC,"373532","373532",1.33000000000
TX491,"7",CfB,"373534","373534",1.40000000000
TX491,"7",BktD,"373524","373524",1.42000000000
TX491,"7",BkE,"373525","373525",1.42000000000
TX491,"7",CaC,"373532","373532",1.33000000000
TX491,"7",EyD,"373549","373549",1.42000000000
TX491,"7",EyD,"373549","373549",1.42000000000
TX491,"7",DnC,"373542","373542",1.35000000000
TX491,"7",HeB,"373555","373555",1.32000000000
TX491,"7",QuC,"373568","373568",1.34000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",GeB,"373553","373553",1.36000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",FhF2,"373552","373552",1.39000000000
TX491,"7",HeB,"373555","373555",1.32000000000
TX491,"7",EeB,"373545","373545",1.20000000000
TX491,"7",CfB,"373534","373534",1.40000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",HeB,"373555","373555",1.32000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",BkE,"373525","373525",1.42000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",BkE,"373525","373525",1.42000000000
TX491,"7",EyB,"373548","373548",1.40000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",BuB,"373530","373530",1.38000000000
TX491,"7",W,"373577","373577",0.00000000000
TX491,"7",W,"373577","373577",0.00000000000
TX491,"7",QuC,"373568","373568",1.34000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",EeB,"373545","373545",1.20000000000
TX491,"7",BktD,"373524","373524",1.42000000000
TX491,"7",QuC,"373568","373568",1.34000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",HoB,"373560","373560",1.27000000000
TX491,"7",BeC3,"373523","373523",1.45000000000
TX491,"7",CrB,"373535","373535",1.54000000000
TX491,"7",HoC2,"373561","373561",1.27000000000
TX491,"7",BkrG,"373526","373526",1.42000000000
TX491,"7",BkE,"373525","373525",1.42000000000
TX491,"7",CfA,"373533","373533",1.40000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",EeB,"373545","373545",1.20000000000
TX491,"7",HoA,"373559","373559",1.27000000000
TX491,"7",HedC2,"373556","373556",1.35000000000
TX491,"7",BkE,"373525","373525",1.42000000000
TX491,"7",OkA,"373566","373566",1.42000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",LegC,"3130118","3130118",1.44000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",HoB,"373560","373560",1.27000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",QuF,"3130123","3130123",1.34000000000
TX491,"7",OaA,"373564","373564",1.42000000000
TX491,"7",BkE,"373525","373525",1.42000000000
TX491,"7",SvA,"373572","373572",1.47000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",HeiD3,"373557","373557",1.40000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",BrB,"373528","373528",1.32000000000
TX491,"7",DnA,"373540","373540",1.44000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",WlB,"373581","373581",1.53000000000
TX491,"7",CfB,"373534","373534",1.40000000000
TX491,"7",OaA,"373564","373564",1.42000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",BkE,"373525","373525",1.42000000000
TX491,"7",ErE,"373546","373546",1.15000000000
TX491,"7",BuA,"373529","373529",1.39000000000
TX491,"7",BuA,"373529","373529",1.39000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",AsB,"373518","373518",1.28000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",FaB,"373551","373551",1.47000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",GsB,"373554","373554",1.36000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",SvB,"373573","373573",1.47000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",DnB,"373541","373541",1.35000000000
TX491,"7",EaD,"373544","373544",1.15000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",BktD,"373524","373524",1.42000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",W,"373577","373577",0.00000000000
TX491,"7",AwD3,"373519","373519",1.39000000000
TX491,"7",CaB,"373531","373531",1.35000000000
TX491,"7",HedC2,"373556","373556",1.35000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",DoC,"373543","373543",1.30000000000
TX491,"7",EaD,"373544","373544",1.15000000000
